TOTAL NUM:,100/300,
SPREAD TIME,9,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,7,0
1,7,1
1,11,2
1,12,2
1,14,2
1,17,2
1,19,2
1,26,2
1,61,2
1,66,2
TOTAL:,9,
2,12,0
2,6,0
2,93,0
2,11,1
2,12,1
2,14,1
2,19,1
2,2,2
2,9,2
2,10,2
2,13,2
2,23,2
2,41,2
2,58,2
2,62,2
2,18,2
2,34,2
2,39,2
2,3,2
2,30,2
2,37,2
2,1,2
2,24,2
2,73,2
2,78,2
TOTAL:,24,
3,4,0
3,3,0
3,37,0
3,14,0
3,24,0
3,73,0
3,78,0
3,21,0
3,44,0
3,10,1
3,13,1
3,23,1
3,58,1
3,18,1
3,34,1
3,39,1
3,16,1
3,1,1
3,73,1
3,51,2
3,5,2
3,6,2
3,16,2
3,32,2
3,46,2
3,20,2
3,33,2
3,97,2
TOTAL:,26,
4,5,0
4,16,0
4,46,0
4,34,0
4,62,0
4,33,1
4,15,1
4,94,1
4,44,1
4,97,1
4,86,1
4,22,2
4,29,2
4,35,2
4,88,2
4,98,2
4,15,2
4,44,2
4,4,2
TOTAL:,17,
5,11,0
5,98,0
5,80,0
5,35,1
5,88,1
5,2,1
5,62,1
TOTAL:,7,
6,22,0
6,98,1
6,37,1
6,80,2
TOTAL:,4,
7,22,1
7,99,1
7,52,1
TOTAL:,3,
8,99,0
8,26,1
8,52,2
TOTAL:,3,
TOTAL:,0,
