TOTAL NUM:,196/300,
SPREAD TIME,14,
BETA,0.5,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,7,1
1,9,2
1,10,2
1,15,2
1,17,2
1,61,2
TOTAL:,6,
2,9,0
2,10,0
2,15,0
2,17,0
2,61,0
2,10,1
2,15,1
2,17,1
2,4,1
2,8,1
2,4,2
2,6,2
2,13,2
2,22,2
2,45,2
2,48,2
2,18,2
2,92,2
2,36,2
TOTAL:,15,
3,6,0
3,45,0
3,48,0
3,7,0
3,8,0
3,24,0
3,80,0
3,18,0
3,92,0
3,23,0
3,6,1
3,45,1
3,9,1
3,18,1
3,5,1
3,11,1
3,29,1
3,0,1
3,8,2
3,19,2
3,35,2
3,58,2
3,39,2
3,56,2
3,63,2
TOTAL:,21,
4,35,0
4,0,0
4,2,0
4,11,0
4,16,0
4,22,0
4,50,0
4,55,0
4,81,0
4,89,0
4,39,0
4,71,0
4,86,0
4,56,0
4,19,1
4,39,1
4,23,1
4,48,1
4,20,1
4,0,2
4,2,2
4,5,2
4,11,2
4,24,2
4,91,2
TOTAL:,21,
5,19,0
5,30,0
5,31,0
5,33,0
5,38,0
5,54,0
5,43,0
5,27,0
5,96,0
5,94,0
5,2,1
5,91,1
5,22,1
5,35,1
5,89,1
5,94,1
5,47,1
5,49,1
5,69,1
5,56,1
5,16,2
5,60,2
5,87,2
5,26,2
5,51,2
5,23,2
5,27,2
5,44,2
5,76,2
5,77,2
5,89,2
5,81,2
5,86,2
TOTAL:,30,
6,26,0
6,51,0
6,77,0
6,69,0
6,37,0
6,34,0
6,47,0
6,12,0
6,16,1
6,87,1
6,98,1
6,97,1
6,27,1
6,44,1
6,77,1
6,90,1
6,95,1
6,85,1
6,30,1
6,54,1
6,86,1
6,34,2
6,38,2
6,64,2
6,73,2
6,20,2
6,49,2
6,14,2
6,47,2
6,94,2
TOTAL:,27,
7,20,0
7,49,0
7,44,0
7,95,0
7,85,0
7,29,0
7,93,0
7,73,1
7,12,1
7,26,1
7,37,1
7,25,1
7,72,1
7,28,1
7,12,2
7,42,2
7,54,2
7,28,2
7,31,2
7,95,2
7,41,2
7,97,2
7,3,2
7,55,2
7,85,2
TOTAL:,21,
8,42,0
8,28,0
8,3,0
8,63,0
8,5,0
8,97,0
8,25,0
8,72,0
8,42,1
8,70,1
8,33,1
8,31,1
8,55,1
8,21,2
8,25,2
TOTAL:,13,
9,70,0
9,32,1
9,43,1
9,3,1
9,60,1
9,33,2
9,69,2
TOTAL:,7,
10,60,0
10,58,1
10,65,1
10,43,2
TOTAL:,4,
11,65,0
11,62,1
11,82,1
11,65,2
TOTAL:,3,
12,62,2
TOTAL:,1,
13,62,0
TOTAL:,1,
TOTAL:,0,
TOTAL NUM:,200/300,
SPREAD TIME,17,
BETA,0.5,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,2,2
1,8,2
1,16,2
1,51,2
1,76,2
TOTAL:,5,
2,16,0
2,8,1
2,16,1
2,11,2
2,13,2
2,0,2
2,4,2
2,5,2
2,6,2
2,29,2
2,24,2
2,25,2
2,27,2
2,31,2
2,73,2
TOTAL:,14,
3,11,0
3,4,0
3,5,0
3,6,0
3,24,0
3,31,0
3,0,1
3,4,1
3,25,1
3,9,2
3,10,2
3,14,2
3,19,2
3,35,2
3,62,2
3,95,2
3,18,2
