TOTAL NUM:,196/300,
3,69,2
3,68,2
3,74,2
TOTAL:,19,
4,9,0
4,10,0
4,19,0
4,62,0
4,25,0
4,26,0
4,69,0
4,68,0
4,87,0
4,95,1
4,18,1
4,69,1
4,2,1
4,31,1
4,12,2
4,41,2
4,49,2
4,54,2
4,30,2
4,20,2
4,23,2
4,47,2
4,91,2
4,94,2
TOTAL:,23,
5,41,0
5,0,0
5,8,0
5,80,0
5,96,0
5,15,0
5,23,0
5,94,0
5,90,0
5,18,0
5,49,1
5,54,1
5,30,1
5,20,1
5,23,1
5,91,1
5,94,1
5,19,1
5,99,1
5,68,1
5,34,1
5,48,1
5,35,1
5,15,2
5,83,2
5,85,2
5,26,2
5,79,2
5,99,2
5,72,2
TOTAL:,26,
6,83,0
6,3,0
6,99,0
6,54,0
6,17,0
6,39,0
6,48,0
6,72,0
6,92,0
6,27,0
6,95,0
6,20,0
6,91,0
6,34,0
6,83,1
6,41,1
6,79,1
6,37,1
6,50,1
6,29,1
6,66,1
6,88,1
6,27,1
6,97,1
6,63,1
6,67,1
6,70,1
6,43,1
6,44,2
6,97,2
6,80,2
TOTAL:,28,
7,44,0
7,66,0
7,93,0
7,61,0
7,50,0
7,63,0
7,43,0
7,44,1
7,80,1
7,46,1
7,17,1
7,39,1
7,26,1
7,60,1
7,50,2
7,17,2
7,92,2
7,34,2
7,88,2
7,63,2
7,70,2
TOTAL:,17,
8,85,0
8,29,0
8,88,0
8,60,0
8,82,1
8,61,1
8,86,1
8,92,1
8,65,1
8,93,2
8,61,2
8,43,2
8,39,2
8,55,2
8,60,2
TOTAL:,13,
9,82,0
9,75,1
9,13,1
9,58,1
9,62,1
9,64,2
9,21,2
9,67,2
TOTAL:,8,
10,21,0
10,67,0
10,77,1
10,11,1
10,24,1
10,32,2
10,86,2
TOTAL:,7,
11,77,0
11,64,0
11,7,1
11,5,1
11,36,1
11,32,1
11,21,1
11,77,2
11,42,2
11,45,2
TOTAL:,9,
12,32,0
12,7,0
12,45,0
12,45,1
12,64,1
12,36,2
TOTAL:,5,
13,2,0
13,86,0
TOTAL:,2,
14,84,0
TOTAL:,1,
15,40,0
15,84,1
TOTAL:,2,
16,40,1
16,40,2
TOTAL:,1,
TOTAL:,0,
