TOTAL NUM:,190/300,
SPREAD TIME,13,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,7,0
1,8,2
1,18,2
1,39,2
TOTAL:,4,
2,8,0
2,18,0
2,39,0
2,2,0
2,7,1
2,5,2
2,10,2
2,12,2
2,40,2
2,45,2
2,74,2
TOTAL:,11,
3,5,0
3,10,0
3,40,0
3,45,0
3,0,0
3,3,0
3,15,0
3,17,0
3,22,0
3,28,0
3,33,0
3,95,0
3,47,0
3,5,1
3,12,1
3,40,1
3,39,1
3,2,1
3,69,1
3,0,2
3,2,2
3,73,2
3,15,2
3,23,2
3,77,2
3,62,2
TOTAL:,21,
4,6,0
4,23,0
4,69,0
4,77,0
4,72,0
4,92,0
4,97,0
4,71,0
4,30,0
4,44,0
4,60,0
4,0,1
4,4,1
4,8,1
4,77,1
4,95,1
4,62,1
4,28,1
4,97,1
4,13,2
4,14,2
4,16,2
4,28,2
4,26,2
4,66,2
4,44,2
4,47,2
4,82,2
4,85,2
TOTAL:,25,
5,13,0
5,16,0
5,26,0
5,85,0
5,82,0
5,48,0
5,62,0
5,87,1
5,14,1
5,26,1
5,44,1
5,96,1
5,85,1
5,60,1
5,30,1
5,42,1
5,98,1
5,6,2
5,4,2
5,11,2
5,27,2
5,3,2
5,30,2
5,52,2
5,35,2
5,41,2
5,92,2
5,97,2
5,17,2
5,36,2
5,60,2
TOTAL:,27,
6,14,0
6,27,0
6,11,0
6,96,0
6,24,0
6,80,0
6,13,1
6,16,1
6,6,1
6,11,1
6,49,1
6,27,1
6,52,1
6,15,1
6,18,1
6,35,1
6,92,1
6,21,1
6,81,1
6,45,1
6,80,1
6,63,1
6,72,1
6,74,1
6,94,1
6,9,2
6,29,2
6,65,2
6,68,2
6,87,2
6,48,2
6,42,2
6,98,2
TOTAL:,30,
7,20,0
7,25,0
7,49,0
7,29,0
7,84,0
7,9,0
7,68,0
7,81,0
7,74,0
7,17,1
7,19,1
7,65,1
7,1,1
7,82,1
7,48,1
7,22,2
7,32,2
7,49,2
7,63,2
7,43,2
TOTAL:,19,
8,46,0
8,63,0
8,32,0
8,58,0
8,43,0
8,25,1
8,22,1
8,84,1
8,43,1
8,47,1
8,19,2
8,38,2
8,81,2
8,79,2
TOTAL:,13,
9,34,0
9,78,0
9,46,1
9,23,1
9,79,1
9,32,1
9,58,1
9,69,2
9,64,2
9,58,2
TOTAL:,9,
10,79,0
10,64,0
10,70,0
10,78,1
10,34,2
10,78,2
TOTAL:,5,
11,67,0
11,64,1
11,75,1
TOTAL:,3,
12,67,1
12,67,2
TOTAL:,1,
TOTAL:,0,
