TOTAL NUM:,206/300,
SPREAD TIME,17,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,8,2
1,18,2
1,34,2
1,43,2
TOTAL:,4,
2,43,0
2,18,1
2,34,1
2,0,2
2,11,2
2,15,2
2,74,2
2,20,2
2,36,2
2,65,2
TOTAL:,10,
3,15,0
3,20,0
3,36,0
3,65,0
3,18,0
3,74,1
3,36,1
3,10,2
3,40,2
3,6,2
3,22,2
3,29,2
3,35,2
3,53,2
3,75,2
3,38,2
3,78,2
TOTAL:,16,
4,10,0
4,35,0
4,53,0
4,74,0
4,2,0
4,29,1
4,75,1
4,15,1
4,76,1
4,78,1
4,20,1
4,65,1
4,13,2
4,39,2
4,68,2
4,37,2
TOTAL:,16,
5,3,0
5,5,0
5,29,0
5,68,0
5,9,0
5,76,0
5,7,0
5,13,1
5,68,1
5,37,1
5,2,1
5,17,1
5,21,1
5,77,1
5,14,1
5,2,2
5,45,2
5,16,2
5,73,2
TOTAL:,17,
6,45,0
6,14,0
6,67,0
6,75,0
6,73,0
6,17,0
6,91,0
6,8,1
6,9,1
6,39,1
6,5,1
6,16,1
6,63,1
6,64,1
6,73,1
6,4,1
6,6,1
6,9,2
6,58,2
6,66,2
6,3,2
6,63,2
TOTAL:,19,
7,0,0
7,6,0
7,39,0
7,49,0
7,63,0
7,4,0
7,22,0
7,45,1
7,12,1
7,96,1
7,44,1
7,86,1
7,60,1
7,24,2
7,31,2
7,46,2
7,50,2
7,77,2
7,79,2
7,67,2
7,96,2
TOTAL:,20,
8,46,0
8,77,0
8,16,0
8,44,0
8,24,1
8,79,1
8,49,1
8,98,1
8,22,1
8,1,2
8,84,2
8,44,2
8,54,2
8,89,2
TOTAL:,13,
9,24,0
9,84,0
9,11,0
9,31,0
9,98,0
9,1,1
9,38,1
9,48,1
9,51,1
9,50,1
9,54,1
9,89,1
9,94,2
9,97,2
9,76,2
TOTAL:,15,
10,94,0
10,38,0
10,48,0
10,21,0
10,27,0
10,54,0
10,90,0
10,51,0
10,97,1
10,99,1
10,71,1
10,43,1
10,52,1
10,84,1
10,32,1
10,87,1
10,85,1
10,51,2
TOTAL:,17,
11,52,0
11,85,0
11,87,0
11,92,1
11,27,1
11,28,1
11,31,1
11,47,1
11,90,1
11,71,2
11,52,2
11,48,2
11,5,2
11,32,2
11,87,2
TOTAL:,13,
12,47,0
12,32,0
12,95,1
12,72,1
12,57,1
12,28,2
12,47,2
12,85,2
12,30,2
12,81,2
TOTAL:,9,
13,95,0
13,72,0
13,89,0
13,30,0
13,81,0
13,78,0
13,40,1
13,58,1
13,95,2
13,4,2
13,23,2
13,14,2
13,62,2
TOTAL:,12,
14,40,0
14,62,0
14,8,0
14,42,1
14,62,1
14,27,2
TOTAL:,5,
15,42,0
15,66,0
15,33,0
15,42,2
TOTAL:,3,
16,66,1
TOTAL:,1,
TOTAL:,0,
