TOTAL NUM:,188/300,
SPREAD TIME,15,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,7,0
1,7,1
1,8,2
1,29,2
1,50,2
1,56,2
1,75,2
TOTAL:,6,
2,29,0
2,50,0
2,6,0
2,67,0
2,8,1
2,29,1
2,50,1
2,56,1
2,3,1
2,5,1
2,12,2
2,45,2
2,64,2
2,31,2
TOTAL:,12,
3,12,0
3,45,0
3,64,0
3,8,0
3,11,0
3,3,0
3,6,1
3,52,1
3,67,1
3,9,2
3,49,2
3,95,2
3,6,2
TOTAL:,12,
4,16,0
4,54,0
4,93,0
4,0,0
4,5,0
4,40,0
4,52,0
4,41,0
4,12,1
4,45,1
4,64,1
4,48,1
4,63,1
4,68,1
4,78,1
4,10,2
4,19,2
4,37,2
4,65,2
4,77,2
4,90,2
4,81,2
4,67,2
TOTAL:,23,
5,10,0
5,19,0
5,37,0
5,65,0
5,38,0
5,90,0
5,9,0
5,48,0
5,60,0
5,78,0
5,10,1
5,37,1
5,77,1
5,17,1
5,0,1
5,40,1
5,90,1
5,70,1
5,0,2
5,5,2
5,16,2
5,17,2
5,41,2
5,92,2
5,63,2
5,48,2
5,21,2
5,51,2
TOTAL:,22,
6,92,0
6,77,0
6,63,0
6,30,0
6,70,0
6,32,0
6,16,1
6,85,1
6,65,1
6,76,1
6,60,1
6,4,1
6,73,1
6,11,2
6,13,2
6,24,2
6,28,2
6,33,2
6,40,2
6,60,2
6,25,2
6,38,2
6,43,2
6,61,2
6,70,2
TOTAL:,23,
7,43,0
7,20,0
7,76,0
7,4,0
7,13,1
7,61,1
7,83,1
7,62,1
7,75,1
7,15,2
7,22,2
7,23,2
7,27,2
7,32,2
7,58,2
7,62,2
7,66,2
7,85,2
7,91,2
7,96,2
7,26,2
7,4,2
7,39,2
7,30,2
TOTAL:,22,
8,22,0
8,23,0
8,13,0
8,39,0
8,61,0
8,75,0
8,15,1
8,23,1
8,27,1
8,32,1
8,58,1
8,96,1
8,18,1
8,43,1
8,92,1
8,55,1
8,20,2
8,14,2
8,83,2
8,3,2
8,76,2
TOTAL:,20,
9,83,0
9,18,0
9,87,0
9,20,1
9,11,1
9,14,1
9,22,1
9,21,1
9,25,1
9,59,1
9,57,2
9,55,2
TOTAL:,12,
10,57,0
10,59,0
10,15,0
10,19,1
10,9,1
10,87,1
10,69,1
10,87,2
10,71,2
TOTAL:,8,
11,69,0
11,49,1
11,57,1
11,59,2
TOTAL:,4,
12,49,0
12,53,1
12,69,2
TOTAL:,3,
13,47,0
13,53,0
13,53,2
TOTAL:,2,
14,47,1
TOTAL:,1,
TOTAL:,0,
