TOTAL NUM:,179/300,
SPREAD TIME,14,
TIME,NODE#,LAYER#
0,8,2
TOTAL:,1,
1,12,2
TOTAL:,1,
2,12,1
2,23,2
TOTAL:,2,
3,23,0
3,23,1
3,17,1
3,14,2
3,28,2
TOTAL:,4,
4,3,0
4,5,0
4,36,0
4,92,0
4,17,0
4,14,1
4,18,1
4,20,1
4,21,1
4,9,2
4,38,2
4,91,2
TOTAL:,12,
5,9,0
5,38,0
5,6,0
5,20,0
5,25,0
5,27,0
5,88,0
5,0,0
5,2,0
5,78,0
5,99,0
5,3,1
5,36,1
5,25,1
5,6,2
5,7,2
5,32,2
5,35,2
5,42,2
5,3,2
5,18,2
5,21,2
TOTAL:,19,
6,7,0
6,32,0
6,35,0
6,8,0
6,80,0
6,42,0
6,4,0
6,55,0
6,72,0
6,83,0
6,90,0
6,86,0
6,38,1
6,27,1
6,88,1
6,40,1
6,91,1
6,99,1
6,10,2
6,81,2
6,0,2
6,2,2
6,27,2
6,75,2
6,46,2
6,48,2
6,63,2
TOTAL:,26,
7,10,0
7,34,0
7,93,0
7,11,0
7,40,0
7,48,0
7,46,0
7,37,0
7,45,0
7,66,0
7,54,0
7,81,1
7,2,1
7,46,1
7,8,1
7,80,1
7,48,1
7,34,1
7,71,1
7,1,1
7,95,1
7,22,1
7,5,2
7,13,2
7,17,2
7,84,2
7,40,2
7,15,2
7,33,2
7,51,2
7,62,2
7,66,2
7,70,2
7,80,2
TOTAL:,28,
8,15,0
8,33,0
8,12,0
8,22,0
8,24,0
8,31,0
8,30,0
8,71,0
8,1,0
8,95,0
8,5,1
8,84,1
8,15,1
8,62,1
8,70,1
8,6,1
8,29,1
8,52,1
8,45,1
8,9,1
8,24,1
8,54,1
8,74,1
8,11,2
8,44,2
8,54,2
8,20,2
8,36,2
8,96,2
8,25,2
8,71,2
TOTAL:,27,
9,44,0
9,84,0
9,60,0
9,43,0
9,13,0
9,52,0
9,4,1
9,75,1
9,10,1
9,85,1
9,86,1
9,30,1
9,37,1
9,50,1
9,60,2
9,1,2
9,31,2
9,45,2
TOTAL:,17,
10,85,0
10,89,0
10,16,0
10,7,1
10,44,1
10,31,1
10,30,2
10,37,2
10,59,2
10,56,2
10,85,2
10,29,2
10,52,2
TOTAL:,12,
11,29,0
11,76,1
11,33,1
11,16,1
11,26,2
11,34,2
11,67,2
TOTAL:,7,
12,26,0
12,26,1
12,98,1
12,16,2
12,89,2
TOTAL:,4,
13,21,0
TOTAL:,1,
TOTAL:,0,
