TOTAL NUM:,151/300,
SPREAD TIME,15,
TIME,NODE#,LAYER#
0,8,2
TOTAL:,1,
1,8,1
1,2,2
1,29,2
1,87,2
TOTAL:,4,
2,29,0
2,87,0
2,87,1
2,34,2
2,45,2
TOTAL:,4,
3,34,1
3,45,1
3,29,1
3,2,1
3,15,2
3,86,2
TOTAL:,6,
4,34,0
4,15,0
4,32,1
4,36,1
4,21,1
4,62,1
4,0,1
4,97,1
4,0,2
4,30,2
4,47,2
TOTAL:,10,
5,32,0
5,21,0
5,98,1
5,30,1
5,15,1
5,18,1
5,4,1
5,94,1
5,36,2
5,9,2
5,33,2
5,50,2
5,60,2
5,97,2
5,21,2
TOTAL:,14,
6,50,0
6,30,0
6,16,1
6,46,1
6,9,1
6,33,1
6,41,1
6,48,1
6,11,2
6,17,2
6,25,2
6,6,2
6,16,2
6,68,2
6,94,2
TOTAL:,14,
7,16,0
7,25,0
7,41,0
7,0,0
7,68,1
7,42,1
7,11,1
7,38,1
7,49,1
7,7,2
7,22,2
7,27,2
7,41,2
7,57,2
7,66,2
7,24,2
7,38,2
7,48,2
7,63,2
7,98,2
TOTAL:,18,
8,6,0
8,38,0
8,42,0
8,11,0
8,14,0
8,90,0
8,48,0
8,73,1
8,66,1
8,85,1
8,42,2
8,4,2
8,13,2
8,19,2
8,26,2
8,43,2
8,62,2
8,82,2
8,93,2
TOTAL:,18,
9,5,0
9,8,0
9,26,0
9,43,0
9,62,0
9,70,1
9,6,1
9,26,1
9,43,1
9,93,1
9,37,1
9,83,1
9,83,2
9,37,2
9,39,2
9,74,2
9,81,2
9,85,2
9,90,2
TOTAL:,15,
10,39,0
10,19,0
10,97,0
10,83,0
10,93,0
10,5,1
10,52,1
10,31,1
10,35,1
10,70,2
10,12,2
10,55,2
10,49,2
TOTAL:,13,
11,69,0
11,40,0
11,1,1
11,12,1
11,55,1
11,14,2
11,92,2
TOTAL:,7,
12,1,0
12,7,0
12,9,0
12,55,0
12,86,1
12,99,1
12,40,2
12,52,2
TOTAL:,8,
13,99,0
13,60,0
13,46,0
13,7,1
13,75,2
TOTAL:,5,
14,94,0
14,99,2
14,46,2
TOTAL:,3,
TOTAL:,0,
