TOTAL NUM:,216/300,
SPREAD TIME,14,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,7,1
1,4,2
1,8,2
1,9,2
1,29,2
1,51,2
1,58,2
1,61,2
1,70,2
1,80,2
TOTAL:,10,
2,8,0
2,58,0
2,70,0
2,4,1
2,8,1
2,29,1
2,51,1
2,70,1
2,0,2
2,2,2
2,13,2
2,40,2
2,43,2
2,17,2
2,32,2
2,35,2
2,46,2
2,39,2
TOTAL:,16,
3,13,0
3,43,0
3,11,0
3,12,0
3,30,0
3,35,0
3,45,0
3,65,0
3,78,0
3,39,0
3,40,1
3,43,1
3,10,1
3,17,1
3,31,1
3,39,1
3,10,2
3,11,2
3,41,2
3,50,2
3,87,2
3,45,2
3,48,2
TOTAL:,18,
4,10,0
4,41,0
4,87,0
4,48,0
4,17,0
4,75,0
4,33,0
4,5,0
4,16,0
4,11,1
4,45,1
4,35,1
4,37,1
4,30,1
4,65,1
4,33,1
4,78,1
4,12,2
4,16,2
4,31,2
4,78,2
TOTAL:,18,
5,31,0
5,0,0
5,3,0
5,23,0
5,53,0
5,55,0
5,72,0
5,98,0
5,32,0
5,37,0
5,27,0
5,12,1
5,23,1
5,41,1
5,49,1
5,75,1
5,32,1
5,22,1
5,15,2
5,18,2
5,1,2
5,22,2
5,33,2
5,56,2
5,75,2
5,37,2
5,5,2
TOTAL:,22,
6,15,0
6,18,0
6,22,0
6,56,0
6,6,0
6,9,0
6,14,0
6,60,0
6,62,0
6,88,0
6,61,0
6,24,0
6,1,1
6,56,1
6,3,1
6,53,1
6,55,1
6,72,1
6,98,1
6,27,1
6,87,1
6,46,1
6,47,1
6,74,1
6,26,1
6,91,1
6,20,2
6,23,2
6,26,2
6,72,2
6,98,2
6,65,2
6,55,2
6,25,2
6,90,2
6,3,2
6,53,2
6,27,2
TOTAL:,30,
7,26,0
7,28,0
7,81,0
7,25,0
7,52,0
7,91,0
7,90,0
7,66,0
7,47,0
7,74,0
7,15,1
7,5,1
7,97,1
7,6,1
7,81,1
7,25,1
7,61,1
7,14,1
7,60,1
7,24,1
7,50,1
7,36,1
7,42,1
7,77,1
7,21,1
7,48,1
7,14,2
7,84,2
7,47,2
7,24,2
7,52,2
7,88,2
7,19,2
TOTAL:,27,
8,84,0
8,21,0
8,36,0
8,77,0
8,89,0
8,16,1
8,52,1
8,66,1
8,88,1
8,38,1
8,42,2
8,91,2
8,28,2
8,6,2
8,36,2
8,97,2
8,66,2
8,77,2
8,21,2
TOTAL:,15,
9,42,0
9,38,0
9,34,0
9,19,1
9,68,1
9,28,1
9,67,1
9,89,1
9,38,2
TOTAL:,8,
10,68,0
10,67,0
10,18,1
10,63,1
10,69,1
10,90,1
10,94,1
10,68,2
10,67,2
10,89,2
TOTAL:,8,
11,63,0
11,69,0
11,63,2
11,60,2
11,69,2
TOTAL:,3,
12,34,2
TOTAL:,1,
13,34,1
TOTAL:,1,
TOTAL:,0,
