TOTAL NUM:,210/300,
SPREAD TIME,12,
TIME,NODE#,LAYER#
0,7,2
TOTAL:,1,
1,9,2
1,14,2
1,15,2
1,19,2
1,43,2
TOTAL:,5,
2,9,0
2,14,0
2,15,0
2,19,0
2,14,1
2,0,2
2,6,2
2,8,2
2,10,2
2,11,2
2,13,2
2,22,2
2,27,2
2,37,2
2,41,2
2,45,2
2,3,2
2,30,2
2,61,2
TOTAL:,18,
3,6,0
3,13,0
3,22,0
3,27,0
3,37,0
3,41,0
3,45,0
3,46,0
3,30,0
3,6,1
3,13,1
3,22,1
3,41,1
3,45,1
3,3,1
3,7,1
3,15,1
3,61,1
3,19,1
3,12,2
3,16,2
3,24,2
3,40,2
3,50,2
3,87,2
3,20,2
3,29,2
3,92,2
3,95,2
3,96,2
3,5,2
3,70,2
3,26,2
3,46,2
3,71,2
3,58,2
3,38,2
TOTAL:,31,
4,16,0
4,24,0
4,40,0
4,87,0
4,20,0
4,2,0
4,3,0
4,8,0
4,11,0
4,17,0
4,84,0
4,99,0
4,70,0
4,71,0
4,62,0
4,61,0
4,12,1
4,16,1
4,24,1
4,40,1
4,87,1
4,20,1
4,2,1
4,5,1
4,70,1
4,26,1
4,46,1
4,71,1
4,21,1
4,30,1
4,38,1
4,44,1
4,49,1
4,2,2
4,21,2
4,39,2
4,65,2
4,81,2
4,62,2
4,74,2
4,76,2
TOTAL:,30,
5,21,0
5,12,0
5,5,0
5,38,0
5,52,0
5,86,0
5,32,0
5,66,0
5,73,0
5,76,0
5,93,0
5,26,0
5,44,0
5,49,0
5,39,1
5,65,1
5,17,1
5,33,1
5,62,1
5,48,1
5,25,1
5,35,1
5,11,1
5,37,1
5,85,1
5,8,1
5,99,1
5,29,1
5,85,2
5,18,2
5,84,2
5,44,2
5,49,2
TOTAL:,30,
6,85,0
6,33,0
6,7,0
6,25,0
6,0,0
6,35,0
6,53,0
6,77,0
6,48,0
6,51,0
6,18,1
6,82,1
6,73,1
6,9,1
6,76,1
6,96,1
6,98,1
6,17,2
6,99,2
6,33,2
6,86,2
6,35,2
6,1,2
TOTAL:,21,
7,29,0
7,69,0
7,18,0
7,54,0
7,96,0
7,74,1
7,86,1
7,77,1
7,51,1
7,95,1
7,1,1
7,94,1
7,36,2
7,51,2
7,53,2
7,48,2
7,73,2
7,98,2
7,55,2
TOTAL:,18,
8,28,0
8,1,0
8,94,0
8,98,0
8,90,1
8,53,1
8,72,1
8,47,1
8,97,1
8,34,1
8,55,1
8,69,2
8,57,2
TOTAL:,13,
9,90,0
9,34,0
9,55,0
9,69,1
9,28,1
9,91,1
9,0,1
9,32,1
9,59,1
9,94,2
TOTAL:,10,
10,91,0
10,78,1
10,92,1
10,91,2
10,90,2
10,34,2
10,59,2
TOTAL:,6,
11,92,0
11,78,2
TOTAL:,2,
TOTAL:,0,
